Communication timer, comunication counter, latest time of propagation, number of nodes spread, number of positive ack, number of negative ack, number of requests
0,1,0,0,0,1,0
0,2,0,0,0,2,0
0,3,0,0,0,3,0
0,4,0,0,0,4,0
0,5,0,0,0,5,0
0,6,0,0,0,6,0
0,7,0,0,0,7,0
0,8,0,0,0,8,0
0,9,0,0,0,9,0
0,10,0,0,0,10,0
0,11,0,0,0,11,0
0,12,0,0,0,12,0
0,13,0,0,0,13,0
0,14,0,0,0,14,0
0,15,0,0,0,15,0
0,16,0,0,0,16,0
0,17,0,0,0,17,0
0,18,0,0,0,18,0
0,19,0,0,0,19,0
0,20,0,0,0,20,0
0,21,0,0,0,21,0
0,22,0,0,0,22,0
0,23,0,0,0,23,0
0,24,0,0,0,24,0
0,25,0,0,0,25,0
0,26,0,0,0,26,0
0,27,0,0,0,27,0
0,28,0,0,0,28,0
0,29,0,0,0,29,0
0,30,0,0,0,30,0
0,31,0,0,0,31,0
0,32,0,0,0,32,0
0,33,0,0,0,33,0
0,34,0,0,0,34,0
0,35,0,0,0,35,0
0,36,0,0,0,36,0
0,37,0,0,0,37,0
0,38,0,0,0,38,0
0,39,0,0,0,39,0
0,40,0,0,0,40,0
0,41,0,0,0,41,0
0,42,0,0,0,42,0
0,43,0,0,0,43,0
0,44,0,0,0,44,0
0,45,0,0,0,45,0
0,46,0,0,0,46,0
0,47,0,0,0,47,0
0,48,0,0,0,48,0
0,49,0,0,0,49,0
0,50,0,0,0,50,0
0,51,0,0,0,51,0
0,52,0,0,0,52,0
0,53,0,0,0,53,0
0,54,0,0,0,54,0
0,55,0,0,0,55,0
0,56,0,0,0,56,0
0,57,0,0,0,57,0
0,58,0,0,0,58,0
0,59,0,0,0,59,0
0,60,0,0,0,60,0
0,61,0,0,0,61,0
0,62,0,0,0,62,0
0,63,0,0,0,63,0
0,64,0,0,0,64,0
0,65,0,0,0,65,0
0,66,0,0,0,66,0
0,67,0,0,0,67,0
0,68,0,0,0,68,0
0,69,0,0,0,69,0
0,70,0,0,0,70,0
45,71,0,0,0,70,0
45,72,0,0,0,70,0
45,73,0,0,0,70,0
45,74,0,0,0,70,0
45,75,0,0,0,70,0
45,76,0,0,0,70,0
45,77,0,0,0,70,0
45,78,0,0,0,70,0
45,79,0,0,0,70,0
45,80,0,0,0,71,0
45,81,0,0,0,71,0
45,82,0,0,0,71,0
45,83,0,0,0,72,0
45,84,0,0,0,73,0
45,85,0,0,0,74,0
45,86,0,0,0,74,0
45,87,0,0,0,75,0
46,88,0,0,0,76,0
46,89,0,0,0,77,0
46,90,0,0,0,77,0
46,91,0,0,0,77,0
46,92,0,0,0,78,0
46,93,0,0,0,78,0
46,94,0,0,0,79,0
46,95,0,0,0,80,0
46,96,0,0,0,80,0
46,97,0,0,0,81,0
46,98,0,0,0,81,0
46,99,0,0,0,82,0
46,100,0,0,0,82,0
46,101,0,0,0,82,0
46,102,0,0,0,82,0
46,103,0,0,0,82,0
46,104,0,0,0,82,0
46,105,0,0,0,83,0
46,106,0,0,0,83,0
46,107,0,0,0,84,0
46,108,0,0,0,84,0
46,109,0,0,0,84,0
46,110,0,0,0,85,0
46,111,0,0,0,85,0
46,112,0,0,0,86,0
46,113,0,0,0,87,0
46,114,0,0,0,88,0
46,115,0,0,0,89,0
46,116,0,0,0,90,0
46,117,0,0,0,91,0
46,118,0,0,0,92,0
46,119,0,0,0,93,0
46,120,0,0,0,94,0
46,121,0,0,0,95,0
46,122,0,0,0,96,0
49,123,0,0,0,96,0
49,124,0,0,0,96,0
49,125,0,0,0,96,0
49,126,0,0,0,96,0
49,127,0,0,0,96,0
49,128,0,0,0,96,0
50,129,0,0,0,96,0
50,130,0,0,0,96,0
50,131,0,0,0,96,0
50,132,0,0,0,96,0
50,133,0,0,0,96,0
50,134,0,0,0,96,0
50,135,0,0,0,96,0
50,136,0,0,0,96,0
50,137,0,0,0,97,0
50,138,0,0,0,97,0
50,139,0,0,0,97,0
50,140,0,0,0,97,0
50,141,0,0,0,98,0
50,142,0,0,0,98,0
50,143,0,0,0,98,0
50,144,0,0,0,98,0
50,145,0,0,0,98,0
50,146,0,0,0,98,0
50,147,0,0,0,98,0
50,148,0,0,0,98,0
50,149,0,0,0,98,0
50,150,0,0,0,98,0
50,151,0,0,0,98,0
50,152,0,0,0,99,0
50,153,0,0,0,99,0
50,154,0,0,0,100,0
51,155,0,0,0,100,0
51,156,0,0,0,100,0
51,157,0,0,0,100,0
51,158,0,0,0,100,0
51,159,0,0,0,100,0
51,160,0,0,0,100,0
51,161,0,0,0,100,0
51,162,0,0,0,100,0
51,163,0,0,0,100,0
51,164,0,0,0,100,0
51,165,0,0,0,100,0
51,166,0,0,0,100,0
51,167,0,0,0,101,0
51,168,0,0,0,101,0
51,169,0,0,0,102,0
51,170,0,0,0,103,0
51,171,0,0,0,103,0
51,172,0,0,0,103,0
51,173,0,0,0,103,0
51,174,0,0,0,104,0
51,175,0,0,0,104,0
51,176,0,0,0,104,0
51,177,0,0,0,105,0
51,178,0,0,0,105,0
51,179,0,0,0,106,0
51,180,0,0,0,107,0
51,181,0,0,0,108,0
51,182,0,0,0,109,0
51,183,0,0,0,109,0
51,184,0,0,0,110,0
51,185,0,0,0,110,0
51,186,0,0,0,110,0
51,187,0,0,0,110,0
51,188,0,0,0,111,0
51,189,0,0,0,111,0
51,190,0,0,0,111,0
51,191,0,0,0,112,0
51,192,0,0,0,113,0
51,193,0,0,0,113,0
51,194,0,0,0,114,0
51,195,0,0,0,114,0
51,196,0,0,0,114,0
51,197,0,0,0,115,0
51,198,0,0,0,115,0
51,199,0,0,0,116,0
51,200,0,0,0,117,0
52,201,0,0,0,118,0
52,202,0,0,0,119,0
52,203,0,0,0,119,0
52,204,0,0,0,119,0
52,205,0,0,0,119,0
52,206,0,0,0,119,0
52,207,0,0,0,119,0
52,208,0,0,0,120,0
52,209,0,0,0,121,0
52,210,0,0,0,121,0
