Communication timer, comunication counter, latest time of propagation, number of nodes spread, number of positive ack, number of negative ack, number of requests
0,1,0,0,0,1,0
0,2,0,0,0,2,0
0,3,0,0,0,3,0
0,4,0,0,0,4,0
0,5,0,0,0,5,0
0,6,0,0,0,6,0
0,7,0,0,0,7,0
0,8,0,0,0,8,0
0,9,0,0,0,9,0
0,10,0,0,0,10,0
0,11,0,0,0,11,0
0,12,0,0,0,12,0
0,13,0,0,0,13,0
0,14,0,0,0,14,0
0,15,0,0,0,15,0
0,16,0,0,0,16,0
0,17,0,0,0,17,0
0,18,0,0,0,18,0
0,19,0,0,0,19,0
0,20,0,0,0,20,0
0,21,0,0,0,21,0
0,22,0,0,0,22,0
0,23,0,0,0,23,0
0,24,0,0,0,24,0
0,25,0,0,0,25,0
0,26,0,0,0,26,0
0,27,0,0,0,27,0
0,28,0,0,0,28,0
0,29,0,0,0,29,0
0,30,0,0,0,30,0
0,31,0,0,0,31,0
0,32,0,0,0,32,0
0,33,0,0,0,33,0
0,34,0,0,0,34,0
0,35,0,0,0,35,0
0,36,0,0,0,36,0
0,37,0,0,0,37,0
0,38,0,0,0,38,0
0,39,0,0,0,39,0
0,40,0,0,0,40,0
0,41,0,0,0,41,0
0,42,0,0,0,42,0
0,43,0,0,0,43,0
0,44,0,0,0,44,0
0,45,0,0,0,45,0
0,46,0,0,0,46,0
0,47,0,0,0,47,0
0,48,0,0,0,48,0
0,49,0,0,0,49,0
0,50,0,0,0,50,0
0,51,0,0,0,51,0
0,52,0,0,0,52,0
0,53,0,0,0,53,0
0,54,0,0,0,54,0
0,55,0,0,0,55,0
52,56,0,0,0,55,0
52,57,0,0,0,55,0
52,58,0,0,0,55,0
52,59,0,0,0,55,0
52,60,0,0,0,55,0
52,61,0,0,0,55,0
52,62,0,0,0,55,0
52,63,0,0,0,55,0
52,64,0,0,0,55,0
52,65,0,0,0,55,0
52,66,0,0,0,55,0
52,67,0,0,0,55,0
52,68,0,0,0,55,0
52,69,0,0,0,55,0
52,70,0,0,0,55,0
52,71,0,0,0,55,0
52,72,0,0,0,55,0
52,73,0,0,0,55,0
52,74,0,0,0,55,0
52,75,0,0,0,55,0
52,76,0,0,0,55,0
52,77,0,0,0,56,0
52,78,0,0,0,56,0
53,79,0,0,0,56,0
53,80,0,0,0,56,0
53,81,0,0,0,56,0
53,82,0,0,0,56,0
53,83,0,0,0,56,0
53,84,0,0,0,56,0
53,85,0,0,0,56,0
53,86,0,0,0,56,0
53,87,0,0,0,56,0
53,88,0,0,0,56,0
53,89,0,0,0,56,0
53,90,0,0,0,56,0
53,91,0,0,0,56,0
53,92,0,0,0,56,0
53,93,0,0,0,57,0
53,94,0,0,0,57,0
53,95,0,0,0,57,0
53,96,0,0,0,57,0
53,97,0,0,0,57,0
53,98,0,0,0,57,0
53,99,0,0,0,57,0
53,100,0,0,0,57,0
53,101,0,0,0,57,0
53,102,0,0,0,57,0
53,103,0,0,0,58,0
53,104,0,0,0,59,0
53,105,0,0,0,59,0
53,106,0,0,0,59,0
53,107,0,0,0,59,0
53,108,0,0,0,59,0
53,109,0,0,0,60,0
53,110,0,0,0,60,0
53,111,0,0,0,61,0
53,112,0,0,0,61,0
53,113,0,0,0,61,0
53,114,0,0,0,62,0
53,115,0,0,0,63,0
53,116,0,0,0,63,0
53,117,0,0,0,63,0
53,118,0,0,0,63,0
53,119,0,0,0,64,0
53,120,0,0,0,64,0
53,121,0,0,0,64,0
54,122,0,0,0,64,0
54,123,0,0,0,64,0
54,124,0,0,0,64,0
54,125,0,0,0,65,0
54,126,0,0,0,65,0
54,127,0,0,0,65,0
54,128,0,0,0,66,0
54,129,0,0,0,66,0
54,130,0,0,0,66,0
54,131,0,0,0,67,0
54,132,0,0,0,68,0
54,133,0,0,0,68,0
54,134,0,0,0,68,0
54,135,0,0,0,69,0
54,136,0,0,0,69,0
54,137,0,0,0,70,0
54,138,0,0,0,71,0
54,139,0,0,0,72,0
54,140,0,0,0,73,0
54,141,0,0,0,74,0
54,142,0,0,0,75,0
54,143,0,0,0,76,0
54,144,0,0,0,77,0
54,145,0,0,0,77,0
54,146,0,0,0,77,0
54,147,0,0,0,77,0
54,148,0,0,0,77,0
54,149,0,0,0,77,0
54,150,0,0,0,78,0
54,151,0,0,0,79,0
54,152,0,0,0,79,0
54,153,0,0,0,80,0
54,154,0,0,0,81,0
54,155,0,0,0,82,0
54,156,0,0,0,83,0
54,157,0,0,0,83,0
54,158,0,0,0,84,0
54,159,0,0,0,85,0
54,160,0,0,0,86,0
54,161,0,0,0,87,0
55,162,0,0,0,87,0
55,163,0,0,0,88,0
55,164,0,0,0,89,0
55,165,0,0,0,90,0
55,166,0,0,0,91,0
55,167,0,0,0,92,0
55,168,0,0,0,93,0
55,169,0,0,0,94,0
55,170,0,0,0,94,0
55,171,0,0,0,95,0
55,172,0,0,0,95,0
55,173,0,0,0,96,0
55,174,0,0,0,96,0
55,175,0,0,0,97,0
55,176,0,0,0,98,0
55,177,0,0,0,99,0
55,178,0,0,0,100,0
55,179,0,0,0,101,0
55,180,0,0,0,102,0
55,181,0,0,0,103,0
55,182,0,0,0,104,0
55,183,0,0,0,104,0
55,184,0,0,0,105,0
55,185,0,0,0,106,0
55,186,0,0,0,107,0
55,187,0,0,0,108,0
55,188,0,0,0,109,0
55,189,0,0,0,110,0
55,190,0,0,0,111,0
55,191,0,0,0,112,0
55,192,0,0,0,113,0
55,193,0,0,0,114,0
55,194,0,0,0,115,0
55,195,0,0,0,115,0
55,196,0,0,0,116,0
55,197,0,0,0,117,0
55,198,0,0,0,118,0
55,199,0,0,0,119,0
55,200,0,0,0,120,0
55,201,0,0,0,121,0
55,202,0,0,0,122,0
55,203,0,0,0,122,0
55,204,0,0,0,122,0
55,205,0,0,0,122,0
55,206,0,0,0,122,0
55,207,0,0,0,122,0
55,208,0,0,0,122,0
55,209,0,0,0,122,0
55,210,0,0,0,122,0
