Communication timer, comunication counter, latest time of propagation, number of nodes spread, number of positive ack, number of negative ack, number of requests
18,1,0,0,0,1,0
18,2,0,0,0,2,0
18,3,0,0,0,3,0
18,4,0,0,0,4,0
18,5,0,0,0,5,0
41,6,0,0,0,6,0
41,7,0,0,0,7,0
41,8,0,0,0,8,0
41,9,0,0,0,9,0
41,10,0,0,0,10,0
41,11,0,0,0,11,0
41,12,0,0,0,12,0
41,13,0,0,0,13,0
41,14,0,0,0,14,0
41,15,0,0,0,15,0
41,16,0,0,0,16,0
41,17,0,0,0,17,0
41,18,0,0,0,18,0
41,19,0,0,0,19,0
41,20,0,0,0,20,0
41,21,0,0,0,21,0
41,22,0,0,0,22,0
42,23,0,0,0,23,0
42,24,0,0,0,24,0
42,25,0,0,0,25,0
42,26,0,0,0,26,0
42,27,0,0,0,27,0
42,28,0,0,0,28,0
42,29,0,0,0,29,0
42,30,0,0,0,30,0
42,31,0,0,0,31,0
42,32,0,0,0,32,0
42,33,0,0,0,33,0
42,34,0,0,0,34,0
42,35,0,0,0,35,0
60,36,0,0,0,36,0
60,37,0,0,0,37,0
60,38,0,0,0,38,0
60,39,0,0,0,39,0
60,40,0,0,0,40,0
60,41,0,0,0,41,0
62,42,0,0,0,42,0
62,43,0,0,0,43,0
62,44,0,0,0,44,0
62,45,0,0,0,45,0
62,46,0,0,0,46,0
62,47,0,0,0,47,0
62,48,0,0,0,48,0
62,49,0,0,0,49,0
63,50,0,0,0,50,0
63,51,0,0,0,51,0
63,52,0,0,0,52,0
63,53,0,0,0,53,0
63,54,0,0,0,54,0
63,55,0,0,0,55,0
63,56,0,0,0,56,0
63,57,0,0,0,57,0
63,58,0,0,0,58,0
63,59,0,0,0,59,0
63,60,0,0,0,60,0
63,61,0,0,0,61,0
63,62,0,0,0,62,0
63,63,0,0,0,63,0
63,64,0,0,0,64,0
63,65,0,0,0,65,0
63,66,0,0,0,66,0
63,67,0,0,0,67,0
63,68,0,0,0,68,0
63,69,0,0,0,69,0
63,70,0,0,0,70,0
63,71,0,0,0,71,0
63,72,0,0,0,72,0
63,73,0,0,0,73,0
63,74,0,0,0,74,0
63,75,0,0,0,75,0
63,76,0,0,0,76,0
63,77,0,0,0,77,0
63,78,0,0,0,78,0
63,79,0,0,0,79,0
63,80,0,0,0,80,0
63,81,0,0,0,81,0
63,82,0,0,0,82,0
63,83,0,0,0,83,0
63,84,0,0,0,84,0
63,85,0,0,0,85,0
63,86,0,0,0,86,0
63,87,0,0,0,87,0
63,88,0,0,0,88,0
63,89,0,0,0,89,0
63,90,0,0,0,90,0
63,91,0,0,0,91,0
63,92,0,0,0,92,0
63,93,0,0,0,93,0
63,94,0,0,0,94,0
63,95,0,0,0,95,0
63,96,0,0,0,96,0
63,97,0,0,0,97,0
63,98,0,0,0,98,0
63,99,0,0,0,99,0
63,100,0,0,0,100,0
63,101,0,0,0,101,0
63,102,0,0,0,102,0
63,103,0,0,0,103,0
63,104,0,0,0,104,0
63,105,0,0,0,105,0
63,106,0,0,0,106,0
63,107,0,0,0,107,0
63,108,0,0,0,108,0
64,109,0,0,0,109,0
64,110,0,0,0,110,0
64,111,0,0,0,111,0
64,112,0,0,0,112,0
64,113,0,0,0,113,0
64,114,0,0,0,114,0
64,115,0,0,0,115,0
64,116,0,0,0,116,0
64,117,0,0,0,117,0
64,118,0,0,0,118,0
64,119,0,0,0,119,0
64,120,0,0,0,120,0
64,121,0,0,0,121,0
64,122,0,0,0,122,0
64,123,0,0,0,123,0
64,124,0,0,0,124,0
64,125,0,0,0,125,0
64,126,0,0,0,126,0
64,127,0,0,0,127,0
64,128,0,0,0,128,0
64,129,0,0,0,129,0
64,130,0,0,0,130,0
64,131,0,0,0,131,0
64,132,0,0,0,132,0
64,133,0,0,0,133,0
64,134,0,0,0,134,0
64,135,0,0,0,135,0
64,136,0,0,0,136,0
64,137,0,0,0,137,0
64,138,0,0,0,138,0
64,139,0,0,0,139,0
64,140,0,0,0,140,0
64,141,0,0,0,141,0
64,142,0,0,0,142,0
64,143,0,0,0,143,0
64,144,0,0,0,144,0
64,145,0,0,0,145,0
64,146,0,0,0,146,0
64,147,0,0,0,147,0
64,148,0,0,0,148,0
64,149,0,0,0,149,0
64,150,0,0,0,150,0
64,151,0,0,0,151,0
64,152,0,0,0,152,0
64,153,0,0,0,153,0
64,154,0,0,0,154,0
64,155,0,0,0,155,0
64,156,0,0,0,156,0
64,157,0,0,0,157,0
64,158,0,0,0,158,0
64,159,0,0,0,159,0
65,160,0,0,0,160,0
65,161,0,0,0,161,0
65,162,0,0,0,162,0
65,163,0,0,0,163,0
65,164,0,0,0,164,0
65,165,0,0,0,165,0
65,166,0,0,0,166,0
65,167,0,0,0,167,0
65,168,0,0,0,168,0
65,169,0,0,0,169,0
65,170,0,0,0,170,0
65,171,0,0,0,171,0
65,172,0,0,0,172,0
65,173,0,0,0,173,0
65,174,0,0,0,174,0
65,175,0,0,0,175,0
