Communication timer, comunication counter, latest time of propagation, number of nodes spread, number of positive ack, number of negative ack, number of requests
102,2,102,1,1,0,0
220,5,102,3,2,0,0
220,6,102,3,3,0,0
320,8,220,4,4,0,0
320,9,220,4,5,0,0
440,13,320,7,6,0,0
440,14,320,7,7,0,0
440,19,440,11,8,0,0
560,20,440,11,9,0,0
560,21,440,11,10,0,0
560,22,440,11,11,0,0
560,28,560,16,12,0,0
660,29,560,16,13,0,0
660,30,560,16,14,0,0
660,31,560,16,15,0,0
660,32,560,16,16,0,0
660,39,660,22,17,0,0
780,40,660,22,18,0,0
780,41,660,22,19,0,0
780,42,660,22,20,0,0
780,43,660,22,21,0,0
780,44,660,22,22,0,0
780,45,660,22,23,0,0
780,52,780,28,24,0,0
900,53,780,28,25,0,0
900,54,780,28,26,0,0
900,57,900,30,27,0,0
900,58,900,30,28,0,0
900,59,900,30,29,0,0
900,65,900,35,30,0,0
1010,67,900,36,31,0,0
1010,68,900,36,32,0,0
1010,69,900,36,33,0,0
1010,70,900,36,34,0,0
1010,71,900,36,35,0,0
1010,72,900,36,36,0,0
1010,73,900,36,37,0,0
1010,74,900,36,38,0,0
1129,85,1010,46,39,0,0
1129,86,1010,46,40,0,0
1129,87,1010,46,41,0,0
1129,88,1010,46,42,0,0
1129,89,1010,46,43,0,0
1129,92,1129,48,44,0,0
1129,93,1129,48,45,0,0
1129,94,1129,48,46,0,0
1129,97,1129,50,47,0,0
1129,103,1129,55,48,0,0
1129,108,1129,59,49,0,0
1129,109,1129,59,50,0,0
1129,110,1129,59,51,0,0
1230,111,1129,59,52,0,0
1230,112,1129,59,53,0,0
1230,113,1129,59,54,0,0
1230,114,1129,59,55,0,0
1230,115,1129,59,56,0,0
1230,116,1129,59,57,0,0
1230,118,1230,60,58,0,0
1230,119,1230,60,59,0,0
1230,127,1230,67,60,0,0
1230,129,1230,68,61,0,0
1230,130,1230,68,62,0,0
1334,131,1230,68,63,0,0
1334,132,1230,68,64,0,0
1334,133,1230,68,65,0,0
1334,134,1230,68,66,0,0
1334,135,1230,68,67,0,0
1334,136,1230,68,68,0,0
1334,137,1230,68,69,0,0
1334,138,1230,68,70,0,0
1334,149,1334,78,71,0,0
1334,150,1334,78,72,0,0
1439,151,1334,78,73,0,0
1439,152,1334,78,74,0,0
1439,153,1334,78,75,0,0
1439,154,1334,78,76,0,0
1439,155,1334,78,77,0,0
1439,158,1439,80,78,0,0
1439,159,1439,80,79,0,0
1439,167,1439,87,80,0,0
1439,169,1439,88,81,0,0
1439,170,1439,88,82,0,0
1540,171,1439,88,83,0,0
1540,172,1439,88,84,0,0
1540,173,1439,88,85,0,0
1540,174,1439,88,86,0,0
1540,175,1439,88,87,0,0
1540,176,1439,88,88,0,0
1540,179,1540,90,89,0,0
1540,186,1540,96,90,0,0
1540,189,1540,98,91,0,0
1540,190,1540,98,92,0,0
1540,191,1540,98,93,0,0
1540,192,1540,98,94,0,0
1649,193,1540,98,95,0,0
1649,194,1540,98,96,0,0
1649,195,1540,98,97,0,0
1649,196,1540,98,98,0,0
1649,197,1540,98,99,0,0
1650,205,1650,105,100,0,0
1650,207,1650,106,101,0,0
1650,208,1650,106,102,0,0
1650,209,1650,106,103,0,0
1750,210,1650,106,104,0,0
1750,211,1650,106,105,0,0
1750,212,1650,106,106,0,0
1750,214,1750,107,107,0,0
1750,221,1750,113,108,0,0
1859,222,1750,113,109,0,0
1859,223,1750,113,110,0,0
1859,224,1750,113,111,0,0
1859,225,1750,113,112,0,0
1859,227,1859,114,113,0,0
1859,229,1859,115,114,0,0
1859,238,1859,123,115,0,0
1967,240,1859,124,116,0,0
1967,241,1859,124,117,0,0
1967,242,1859,124,118,0,0
1967,243,1859,124,119,0,0
1967,244,1859,124,120,0,0
1967,245,1859,124,121,0,0
1967,246,1859,124,122,0,0
1967,247,1859,124,123,0,0
1967,254,1967,130,124,0,0
1967,256,1967,131,125,0,0
2070,257,1967,131,126,0,0
2070,258,1967,131,127,0,0
2070,259,1967,131,128,0,0
2070,260,1967,131,129,0,0
2070,261,1967,131,130,0,0
2070,262,1967,131,131,0,0
2070,264,2070,132,132,0,0
2070,265,2070,132,133,0,0
2189,275,2070,141,134,0,0
2189,276,2070,141,135,0,0
2189,277,2070,141,136,0,0
2189,278,2070,141,137,0,0
2189,279,2070,141,138,0,0
2189,280,2070,141,139,0,0
2189,282,2189,142,140,0,0
2189,283,2189,142,141,0,0
2189,284,2189,142,142,0,0
2189,293,2189,150,143,0,0
2189,296,2189,152,144,0,0
2189,297,2189,152,145,0,0
2306,298,2189,152,146,0,0
2306,299,2189,152,147,0,0
2306,300,2189,152,148,0,0
2306,301,2189,152,149,0,0
2306,305,2306,155,150,0,0
2306,306,2306,155,151,0,0
2306,307,2306,155,152,0,0
2306,308,2306,155,153,0,0
2306,309,2306,155,154,0,0
2306,318,2306,163,155,0,0
2306,321,2306,165,156,0,0
2306,322,2306,165,157,0,0
2420,323,2306,165,158,0,0
2420,324,2306,165,159,0,0
2420,325,2306,165,160,0,0
2420,326,2306,165,161,0,0
2420,327,2306,165,162,0,0
2420,328,2306,165,163,0,0
2420,329,2306,165,164,0,0
2420,330,2306,165,165,0,0
2420,331,2306,165,166,0,0
2420,332,2306,165,167,0,0
2420,341,2420,173,168,0,0
2420,346,2420,177,169,0,0
2420,347,2420,177,170,0,0
2420,348,2420,177,171,0,0
2530,349,2420,177,172,0,0
2530,350,2420,177,173,0,0
2530,351,2420,177,174,0,0
2530,352,2420,177,175,0,0
2530,353,2420,177,176,0,0
2530,356,2530,179,177,0,0
2530,357,2530,179,178,0,0
2530,358,2530,179,179,0,0
2530,359,2530,179,180,0,0
2530,361,2530,180,181,0,0
2530,368,2530,186,182,0,0
2530,377,2530,194,183,0,0
2650,378,2530,194,184,0,0
2650,379,2530,194,185,0,0
2650,380,2530,194,186,0,0
2650,381,2530,194,187,0,0
2650,382,2530,194,188,0,0
2650,383,2530,194,189,0,0
2650,384,2530,194,190,0,0
2650,385,2530,194,191,0,0
2650,386,2530,194,192,0,0
2650,387,2530,194,193,0,0
2650,389,2650,195,194,0,0
2650,390,2650,195,195,0,0
2650,391,2650,195,196,0,0
2650,392,2650,195,197,0,0
2650,394,2650,196,198,0,0
2651,411,2651,212,199,0,0
2651,412,2651,212,200,0,0
2651,413,2651,212,201,0,0
2651,414,2651,212,202,0,0
2651,415,2651,212,203,0,0
2758,416,2651,212,204,0,0
2758,417,2651,212,205,0,0
2758,419,2758,213,206,0,0
2758,422,2758,215,207,0,0
2758,423,2758,215,208,0,0
2758,424,2758,215,209,0,0
2758,425,2758,215,210,0,0
2758,426,2758,215,211,0,0
2758,427,2758,215,212,0,0
2758,428,2758,215,213,0,0
2758,429,2758,215,214,0,0
2758,430,2758,215,215,0,0
2758,431,2758,215,216,0,0
2758,432,2758,215,217,0,0
2869,449,2758,231,218,0,0
2869,450,2758,231,219,0,0
2869,452,2869,232,220,0,0
2869,454,2869,233,221,0,0
2869,455,2869,233,222,0,0
2869,456,2869,233,223,0,0
2869,457,2869,233,224,0,0
2869,458,2869,233,225,0,0
2869,459,2869,233,226,0,0
2869,460,2869,233,227,0,0
2869,461,2869,233,228,0,0
2869,462,2869,233,229,0,0
2869,463,2869,233,230,0,0
2869,464,2869,233,231,0,0
2869,465,2869,233,232,0,0
2869,466,2869,233,233,0,0
2869,468,2869,234,234,0,0
2869,469,2869,234,235,0,0
2869,470,2869,234,236,0,0
2870,494,2870,257,237,0,0
2870,495,2870,257,238,0,0
2870,496,2870,257,239,0,0
2870,497,2870,257,240,0,0
2870,498,2870,257,241,0,0
2870,499,2870,257,242,0,0
2870,500,2870,257,243,0,0
2970,501,2870,257,244,0,0
2970,502,2870,257,245,0,0
2970,503,2870,257,246,0,0
2970,504,2870,257,247,0,0
2970,506,2970,258,248,0,0
2970,515,2970,266,249,0,0
2970,518,2970,268,250,0,0
2990,519,2970,268,251,0,0
2990,520,2970,268,252,0,0
2990,521,2970,268,253,0,0
2990,522,2970,268,254,0,0
2990,523,2970,268,255,0,0
2990,524,2970,268,256,0,0
2990,525,2970,268,257,0,0
2990,526,2970,268,258,0,0
2990,527,2970,268,259,0,0
2990,528,2970,268,260,0,0
2990,534,2990,273,261,0,0
2990,536,2990,274,262,0,0
2990,537,2990,274,263,0,0
3080,538,2990,274,264,0,0
3080,539,2990,274,265,0,0
3080,540,2990,274,266,0,0
3080,541,2990,274,267,0,0
3080,542,2990,274,268,0,0
3080,543,2990,274,269,0,0
3080,544,2990,274,270,0,0
3080,545,2990,274,271,0,0
3080,554,3080,282,272,0,0
3080,556,3080,283,273,0,0
3100,557,3080,283,274,0,0
3100,558,3080,283,275,0,0
3100,559,3080,283,276,0,0
3100,560,3080,283,277,0,0
3100,561,3080,283,278,0,0
3100,562,3080,283,279,0,0
3100,566,3100,286,280,0,0
3100,567,3100,286,281,0,0
3100,574,3100,292,282,0,0
3100,581,3100,298,283,0,0
3100,582,3100,298,284,0,0
3100,583,3100,298,285,0,0
3190,584,3100,298,286,0,0
3190,585,3100,298,287,0,0
3190,586,3100,298,288,0,0
3190,587,3100,298,289,0,0
3190,588,3100,298,290,0,0
3190,589,3100,298,291,0,0
3190,598,3190,306,292,0,0
3190,599,3190,306,293,0,0
3190,600,3190,306,294,0,0
3210,601,3190,306,295,0,0
3210,602,3190,306,296,0,0
3210,603,3190,306,297,0,0
3210,608,3210,310,298,0,0
3210,609,3210,310,299,0,0
3210,610,3210,310,300,0,0
3210,611,3210,310,301,0,0
3210,612,3210,310,302,0,0
3210,615,3210,312,303,0,0
3210,616,3210,312,304,0,0
