Communication timer, comunication counter, latest time of propagation, number of nodes spread, number of positive ack, number of negative ack, number of requests
101,2,101,1,1,0,0
210,5,210,3,2,0,0
210,7,210,4,3,0,0
328,10,210,6,4,0,0
328,11,210,6,5,0,0
328,13,328,7,6,0,0
429,15,328,8,7,0,0
429,16,328,8,8,0,0
429,21,429,12,9,0,0
530,22,429,12,10,0,0
530,23,429,12,11,0,0
530,24,429,12,12,0,0
530,28,530,15,13,0,0
530,31,530,17,14,0,0
649,32,530,17,15,0,0
649,33,530,17,16,0,0
649,34,530,17,17,0,0
649,39,649,21,18,0,0
761,41,649,22,19,0,0
761,42,649,22,20,0,0
761,43,649,22,21,0,0
761,44,649,22,22,0,0
761,50,761,27,23,0,0
878,51,761,27,24,0,0
878,52,761,27,25,0,0
878,53,761,27,26,0,0
878,54,761,27,27,0,0
878,56,878,28,28,0,0
878,61,878,32,29,0,0
878,63,878,33,30,0,0
878,66,878,35,31,0,0
980,67,878,35,32,0,0
980,68,878,35,33,0,0
980,69,878,35,34,0,0
980,70,878,35,35,0,0
980,71,878,35,36,0,0
980,78,980,41,37,0,0
1099,80,980,42,38,0,0
1099,81,980,42,39,0,0
1099,82,980,42,40,0,0
1099,85,1099,44,41,0,0
1099,86,1099,44,42,0,0
1099,87,1099,44,43,0,0
1099,91,1099,47,44,0,0
1099,93,1099,48,45,0,0
1199,99,1099,53,46,0,0
1199,100,1099,53,47,0,0
1199,101,1099,53,48,0,0
1199,102,1099,53,49,0,0
1199,103,1099,53,50,0,0
1199,104,1099,53,51,0,0
1199,105,1099,53,52,0,0
1199,106,1099,53,53,0,0
1199,107,1099,53,54,0,0
1199,112,1199,57,55,0,0
1199,118,1199,62,56,0,0
1199,123,1199,66,57,0,0
1199,126,1199,68,58,0,0
1199,127,1199,68,59,0,0
1310,128,1199,68,60,0,0
1310,129,1199,68,61,0,0
1310,130,1199,68,62,0,0
1310,131,1199,68,63,0,0
1310,132,1199,68,64,0,0
1310,133,1199,68,65,0,0
1310,134,1199,68,66,0,0
1310,135,1199,68,67,0,0
1310,136,1199,68,68,0,0
1310,137,1199,68,69,0,0
1310,145,1310,75,70,0,0
1310,152,1310,81,71,0,0
1310,153,1310,81,72,0,0
1430,154,1310,81,73,0,0
1430,155,1310,81,74,0,0
1430,156,1310,81,75,0,0
1430,157,1310,81,76,0,0
1430,159,1430,82,77,0,0
1430,160,1430,82,78,0,0
1430,161,1430,82,79,0,0
1430,162,1430,82,80,0,0
1430,163,1430,82,81,0,0
1430,164,1430,82,82,0,0
1430,167,1430,84,83,0,0
1430,177,1430,93,84,0,0
1430,179,1430,94,85,0,0
1430,180,1430,94,86,0,0
1550,181,1430,94,87,0,0
1550,182,1430,94,88,0,0
1550,183,1430,94,89,0,0
1550,184,1430,94,90,0,0
1550,185,1430,94,91,0,0
1550,186,1430,94,92,0,0
1550,187,1430,94,93,0,0
1550,188,1430,94,94,0,0
1550,189,1430,94,95,0,0
1550,196,1550,100,96,0,0
1550,202,1550,105,97,0,0
1670,204,1550,106,98,0,0
1670,205,1550,106,99,0,0
1670,206,1550,106,100,0,0
1670,207,1550,106,101,0,0
1670,208,1550,106,102,0,0
1670,209,1550,106,103,0,0
1670,210,1550,106,104,0,0
1670,211,1550,106,105,0,0
1670,212,1550,106,106,0,0
1670,216,1670,109,107,0,0
1670,221,1670,113,108,0,0
1670,228,1670,119,109,0,0
1670,229,1670,119,110,0,0
1790,230,1670,119,111,0,0
1790,231,1670,119,112,0,0
1790,232,1670,119,113,0,0
1790,234,1790,120,114,0,0
1790,235,1790,120,115,0,0
1790,236,1790,120,116,0,0
1790,237,1790,120,117,0,0
1790,239,1790,121,118,0,0
1790,241,1790,122,119,0,0
1790,244,1790,124,120,0,0
1790,245,1790,124,121,0,0
1790,252,1790,130,122,0,0
1790,256,1790,133,123,0,0
1790,257,1790,133,124,0,0
1790,258,1790,133,125,0,0
1790,259,1790,133,126,0,0
1790,260,1790,133,127,0,0
1790,261,1790,133,128,0,0
1910,262,1790,133,129,0,0
1910,263,1790,133,130,0,0
1910,264,1790,133,131,0,0
1910,265,1790,133,132,0,0
1910,266,1790,133,133,0,0
1910,272,1910,138,134,0,0
2010,274,1910,139,135,0,0
2010,275,1910,139,136,0,0
2010,276,1910,139,137,0,0
2010,277,1910,139,138,0,0
2010,278,1910,139,139,0,0
2010,279,1910,139,140,0,0
2010,287,2010,146,141,0,0
2130,290,2010,148,142,0,0
2130,291,2010,148,143,0,0
2130,292,2010,148,144,0,0
2130,295,2130,150,145,0,0
2130,296,2130,150,146,0,0
2130,297,2130,150,147,0,0
2130,299,2130,151,148,0,0
2130,301,2130,152,149,0,0
2130,305,2130,155,150,0,0
2130,308,2130,157,151,0,0
2130,311,2130,159,152,0,0
2230,312,2130,159,153,0,0
2230,313,2130,159,154,0,0
2230,314,2130,159,155,0,0
2230,315,2130,159,156,0,0
2230,316,2130,159,157,0,0
2230,317,2130,159,158,0,0
2230,318,2130,159,159,0,0
2230,325,2230,165,160,0,0
2230,326,2230,165,161,0,0
2230,329,2230,167,162,0,0
2350,333,2230,170,163,0,0
2350,334,2230,170,164,0,0
2350,335,2230,170,165,0,0
2350,338,2350,172,166,0,0
2350,339,2350,172,167,0,0
2350,340,2350,172,168,0,0
2350,346,2350,177,169,0,0
2350,347,2350,177,170,0,0
2350,348,2350,177,171,0,0
2350,351,2350,179,172,0,0
2350,354,2350,181,173,0,0
2350,355,2350,181,174,0,0
2350,357,2350,182,175,0,0
2450,358,2350,182,176,0,0
2450,359,2350,182,177,0,0
2450,360,2350,182,178,0,0
2450,361,2350,182,179,0,0
2450,362,2350,182,180,0,0
2450,364,2450,183,181,0,0
2450,365,2450,183,182,0,0
2450,369,2450,186,183,0,0
2450,372,2450,188,184,0,0
2450,377,2450,192,185,0,0
2570,379,2450,193,186,0,0
2570,380,2450,193,187,0,0
2570,381,2450,193,188,0,0
2570,382,2450,193,189,0,0
2570,383,2450,193,190,0,0
2570,384,2450,193,191,0,0
2570,385,2450,193,192,0,0
2570,386,2450,193,193,0,0
2570,387,2450,193,194,0,0
2570,395,2570,200,195,0,0
2570,399,2570,203,196,0,0
2690,401,2570,204,197,0,0
2690,402,2570,204,198,0,0
2690,403,2570,204,199,0,0
2690,404,2570,204,200,0,0
2690,405,2570,204,201,0,0
2690,406,2570,204,202,0,0
2690,407,2570,204,203,0,0
2690,408,2570,204,204,0,0
2690,409,2570,204,205,0,0
2690,410,2570,204,206,0,0
2690,416,2690,209,207,0,0
2690,426,2690,218,208,0,0
2690,427,2690,218,209,0,0
2810,428,2690,218,210,0,0
2810,429,2690,218,211,0,0
2810,430,2690,218,212,0,0
2810,433,2810,220,213,0,0
2810,434,2810,220,214,0,0
2810,435,2810,220,215,0,0
2810,436,2810,220,216,0,0
2810,442,2810,225,217,0,0
2810,443,2810,225,218,0,0
2810,444,2810,225,219,0,0
2810,445,2810,225,220,0,0
2810,446,2810,225,221,0,0
2810,452,2810,230,222,0,0
2810,458,2810,235,223,0,0
2810,459,2810,235,224,0,0
2910,460,2810,235,225,0,0
2910,461,2810,235,226,0,0
2910,462,2810,235,227,0,0
2910,463,2810,235,228,0,0
2910,464,2810,235,229,0,0
2910,465,2810,235,230,0,0
2910,466,2810,235,231,0,0
2910,467,2810,235,232,0,0
2910,468,2810,235,233,0,0
2910,469,2810,235,234,0,0
2910,474,2910,239,235,0,0
2910,477,2910,241,236,0,0
3030,483,2910,246,237,0,0
3030,484,2910,246,238,0,0
3030,485,2910,246,239,0,0
3030,486,2910,246,240,0,0
3030,487,2910,246,241,0,0
3030,488,2910,246,242,0,0
3030,489,2910,246,243,0,0
3030,490,2910,246,244,0,0
3030,491,2910,246,245,0,0
3030,497,3030,251,246,0,0
3030,498,3030,251,247,0,0
3030,499,3030,251,248,0,0
3030,500,3030,251,249,0,0
3030,506,3030,256,250,0,0
3030,512,3030,261,251,0,0
3030,513,3030,261,252,0,0
3150,514,3030,261,253,0,0
3150,515,3030,261,254,0,0
3150,516,3030,261,255,0,0
3150,518,3150,262,256,0,0
3150,519,3150,262,257,0,0
3150,520,3150,262,258,0,0
3150,526,3150,267,259,0,0
3150,527,3150,267,260,0,0
3150,531,3150,270,261,0,0
3150,533,3150,271,262,0,0
3150,534,3150,271,263,0,0
3150,535,3150,271,264,0,0
3150,537,3150,272,265,0,0
3150,545,3150,279,266,0,0
3150,546,3150,279,267,0,0
3150,547,3150,279,268,0,0
3270,548,3150,279,269,0,0
3270,549,3150,279,270,0,0
3270,550,3150,279,271,0,0
3270,552,3270,280,272,0,0
3270,554,3270,281,273,0,0
3270,555,3270,281,274,0,0
3270,556,3270,281,275,0,0
3270,557,3270,281,276,0,0
3270,561,3270,284,277,0,0
3270,562,3270,284,278,0,0
3270,565,3270,286,279,0,0
3270,566,3270,286,280,0,0
3270,568,3270,287,281,0,0
3270,575,3270,293,282,0,0
3270,578,3270,295,283,0,0
3270,579,3270,295,284,0,0
3390,581,3270,296,285,0,0
3390,582,3270,296,286,0,0
3390,583,3270,296,287,0,0
3390,584,3270,296,288,0,0
3390,586,3390,297,289,0,0
3390,588,3390,298,290,0,0
3390,589,3390,298,291,0,0
3390,590,3390,298,292,0,0
3390,591,3390,298,293,0,0
3390,592,3390,298,294,0,0
3390,594,3390,299,295,0,0
3390,595,3390,299,296,0,0
3390,598,3390,301,297,0,0
3390,601,3390,303,298,0,0
3390,602,3390,303,299,0,0
