Communication timer, comunication counter, latest time of propagation, number of nodes spread, number of positive ack, number of negative ack, number of requests
106,1,0,0,1,0,0
206,4,106,2,2,0,0
207,7,207,4,3,0,0
308,11,307,7,4,0,0
308,12,307,7,5,0,0
308,13,307,7,6,0,0
408,17,308,10,7,0,0
409,19,408,11,8,0,0
409,20,408,11,9,0,0
409,21,408,11,10,0,0
509,25,409,14,11,0,0
510,27,509,15,12,0,0
510,28,509,15,13,0,0
510,29,509,15,14,0,0
610,32,510,17,15,0,0
611,34,610,18,16,0,0
611,35,610,18,17,0,0
612,38,612,20,18,0,0
712,41,612,22,19,0,0
712,43,712,23,20,0,0
713,45,712,24,21,0,0
713,46,712,24,22,0,0
713,47,712,24,23,0,0
714,50,713,26,24,0,0
813,51,713,26,25,0,0
814,53,814,27,26,0,0
814,55,814,28,27,0,0
814,56,814,28,28,0,0
814,61,814,32,29,0,0
915,69,915,39,30,0,0
915,70,915,39,31,0,0
915,71,915,39,32,0,0
915,72,915,39,33,0,0
915,73,915,39,34,0,0
915,75,915,40,35,0,0
915,77,915,41,36,0,0
915,78,915,41,37,0,0
915,83,915,45,38,0,0
1036,84,915,45,39,0,0
1036,85,915,45,40,0,0
1036,86,915,45,41,0,0
1036,87,915,45,42,0,0
1036,89,1036,46,43,0,0
1036,90,1036,46,44,0,0
1036,91,1036,46,45,0,0
1036,93,1036,47,46,0,0
1036,96,1036,49,47,0,0
1036,97,1036,49,48,0,0
1036,105,1036,56,49,0,0
1036,108,1036,58,50,0,0
1136,109,1036,58,51,0,0
1136,110,1036,58,52,0,0
1136,111,1036,58,53,0,0
1136,112,1036,58,54,0,0
1136,113,1036,58,55,0,0
1136,114,1036,58,56,0,0
1136,115,1036,58,57,0,0
1136,116,1036,58,58,0,0
1136,117,1036,58,59,0,0
1136,118,1036,58,60,0,0
1136,119,1036,58,61,0,0
1136,120,1036,58,62,0,0
1136,121,1036,58,63,0,0
1136,132,1136,68,64,0,0
1136,144,1136,79,65,0,0
1256,145,1136,79,66,0,0
1256,146,1136,79,67,0,0
1256,147,1136,79,68,0,0
1256,148,1136,79,69,0,0
1256,149,1136,79,70,0,0
1256,150,1136,79,71,0,0
1256,151,1136,79,72,0,0
1256,152,1136,79,73,0,0
1256,158,1256,84,74,0,0
1256,162,1256,87,75,0,0
1256,164,1256,88,76,0,0
1256,165,1256,88,77,0,0
1256,166,1256,88,78,0,0
1256,167,1256,88,79,0,0
1256,168,1256,88,80,0,0
1256,169,1256,88,81,0,0
1256,171,1256,89,82,0,0
1256,174,1256,91,83,0,0
1256,177,1256,93,84,0,0
1256,178,1256,93,85,0,0
1256,181,1256,95,86,0,0
1256,183,1256,96,87,0,0
1256,184,1256,96,88,0,0
1256,192,1256,103,89,0,0
1256,193,1256,103,90,0,0
1376,194,1256,103,91,0,0
1376,195,1256,103,92,0,0
1376,196,1256,103,93,0,0
1376,197,1256,103,94,0,0
1376,198,1256,103,95,0,0
1376,199,1256,103,96,0,0
1376,200,1256,103,97,0,0
1376,201,1256,103,98,0,0
1376,203,1376,104,99,0,0
1376,207,1376,107,100,0,0
1376,210,1376,109,101,0,0
1376,213,1376,111,102,0,0
1376,214,1376,111,103,0,0
1376,215,1376,111,104,0,0
1376,218,1376,113,105,0,0
1376,219,1376,113,106,0,0
1376,220,1376,113,107,0,0
1376,225,1376,117,108,0,0
1376,230,1376,121,109,0,0
1376,237,1376,127,110,0,0
1376,238,1376,127,111,0,0
1496,239,1376,127,112,0,0
1496,240,1376,127,113,0,0
1496,241,1376,127,114,0,0
1496,242,1376,127,115,0,0
1496,243,1376,127,116,0,0
1496,244,1376,127,117,0,0
1496,245,1376,127,118,0,0
1496,246,1376,127,119,0,0
1496,249,1496,129,120,0,0
1496,252,1496,131,121,0,0
1496,253,1496,131,122,0,0
1496,254,1496,131,123,0,0
1496,255,1496,131,124,0,0
1496,256,1496,131,125,0,0
1496,257,1496,131,126,0,0
1496,258,1496,131,127,0,0
1496,260,1496,132,128,0,0
1496,261,1496,132,129,0,0
1496,263,1496,133,130,0,0
1496,264,1496,133,131,0,0
1496,269,1496,137,132,0,0
1496,284,1496,151,133,0,0
1496,285,1496,151,134,0,0
1616,286,1496,151,135,0,0
1616,287,1496,151,136,0,0
1616,291,1616,154,137,0,0
1616,292,1616,154,138,0,0
1616,293,1616,154,139,0,0
1616,294,1616,154,140,0,0
1616,295,1616,154,141,0,0
1616,296,1616,154,142,0,0
1616,297,1616,154,143,0,0
1616,298,1616,154,144,0,0
1616,299,1616,154,145,0,0
1616,300,1616,154,146,0,0
1616,301,1616,154,147,0,0
1616,304,1616,156,148,0,0
1616,307,1616,158,149,0,0
1616,308,1616,158,150,0,0
1616,310,1616,159,151,0,0
1616,311,1616,159,152,0,0
1616,314,1616,161,153,0,0
1616,315,1616,161,154,0,0
1616,316,1616,161,155,0,0
1616,323,1616,167,156,0,0
1616,325,1616,168,157,0,0
1616,334,1616,176,158,0,0
1616,335,1616,176,159,0,0
1616,336,1616,176,160,0,0
1616,337,1616,176,161,0,0
1716,338,1616,176,162,0,0
1716,339,1616,176,163,0,0
