Communication timer, comunication counter, latest time of propagation, number of nodes spread, number of positive ack, number of negative ack, number of requests
110,1,0,0,1,0,0
220,4,110,2,2,0,0
220,5,110,2,3,0,0
321,9,220,5,4,0,0
321,10,220,5,5,0,0
321,13,321,7,6,0,0
441,16,441,9,7,0,0
441,18,441,10,8,0,0
441,24,441,15,9,0,0
441,25,441,15,10,0,0
560,26,441,15,11,0,0
560,27,441,15,12,0,0
560,28,441,15,13,0,0
560,35,560,21,14,0,0
560,36,560,21,15,0,0
560,37,560,21,16,0,0
680,38,560,21,17,0,0
680,39,560,21,18,0,0
680,40,560,21,19,0,0
680,41,560,21,20,0,0
680,46,680,25,21,0,0
680,50,680,28,22,0,0
680,51,680,28,23,0,0
780,53,680,29,24,0,0
780,54,680,29,25,0,0
780,56,780,30,26,0,0
780,57,780,30,27,0,0
780,58,780,30,28,0,0
780,66,780,37,29,0,0
780,69,780,39,30,0,0
780,71,780,40,31,0,0
780,72,780,40,32,0,0
780,73,780,40,33,0,0
900,75,780,41,34,0,0
900,76,780,41,35,0,0
900,77,780,41,36,0,0
900,79,900,42,37,0,0
900,82,900,44,38,0,0
900,83,900,44,39,0,0
900,84,900,44,40,0,0
900,85,900,44,41,0,0
900,88,900,46,42,0,0
900,91,900,48,43,0,0
900,94,900,50,44,0,0
900,98,900,53,45,0,0
900,101,900,55,46,0,0
900,102,900,55,47,0,0
1020,103,900,55,48,0,0
1020,104,900,55,49,0,0
1020,105,900,55,50,0,0
1020,106,900,55,51,0,0
1020,107,900,55,52,0,0
1020,108,900,55,53,0,0
1020,109,900,55,54,0,0
1020,110,900,55,55,0,0
1020,111,900,55,56,0,0
1020,114,1020,57,57,0,0
1020,120,1020,62,58,0,0
1020,125,1020,66,59,0,0
1020,126,1020,66,60,0,0
1020,127,1020,66,61,0,0
1140,130,1020,68,62,0,0
1140,131,1020,68,63,0,0
1140,132,1020,68,64,0,0
1140,133,1020,68,65,0,0
1140,134,1020,68,66,0,0
1140,135,1020,68,67,0,0
1140,136,1020,68,68,0,0
1140,137,1020,68,69,0,0
1140,138,1020,68,70,0,0
1140,142,1140,71,71,0,0
1140,148,1140,76,72,0,0
1240,156,1140,83,73,0,0
1240,157,1140,83,74,0,0
1240,158,1140,83,75,0,0
1240,159,1140,83,76,0,0
1240,160,1140,83,77,0,0
1240,161,1140,83,78,0,0
1240,162,1140,83,79,0,0
1240,163,1140,83,80,0,0
1240,164,1140,83,81,0,0
1240,165,1140,83,82,0,0
1240,166,1140,83,83,0,0
1240,167,1140,83,84,0,0
1240,171,1240,86,85,0,0
1240,173,1240,87,86,0,0
1240,179,1240,92,87,0,0
1240,185,1240,97,88,0,0
1240,188,1240,99,89,0,0
1240,193,1240,103,90,0,0
1240,194,1240,103,91,0,0
1360,195,1240,103,92,0,0
1360,199,1360,106,93,0,0
1360,200,1360,106,94,0,0
1360,201,1360,106,95,0,0
1360,204,1360,108,96,0,0
1360,205,1360,108,97,0,0
1360,207,1360,109,98,0,0
1360,208,1360,109,99,0,0
1360,209,1360,109,100,0,0
1360,212,1360,111,101,0,0
1360,213,1360,111,102,0,0
1360,215,1360,112,103,0,0
1360,216,1360,112,104,0,0
1360,218,1360,113,105,0,0
1360,219,1360,113,106,0,0
1360,225,1360,118,107,0,0
1360,227,1360,119,108,0,0
1360,230,1360,121,109,0,0
1480,232,1360,122,110,0,0
1480,233,1360,122,111,0,0
1480,234,1360,122,112,0,0
1480,236,1480,123,113,0,0
1480,237,1480,123,114,0,0
1480,238,1480,123,115,0,0
1480,239,1480,123,116,0,0
1480,240,1480,123,117,0,0
1480,241,1480,123,118,0,0
1480,242,1480,123,119,0,0
1480,246,1480,126,120,0,0
1480,248,1480,127,121,0,0
1480,249,1480,127,122,0,0
1480,250,1480,127,123,0,0
1480,254,1480,130,124,0,0
1480,263,1480,138,125,0,0
1480,265,1480,139,126,0,0
1480,266,1480,139,127,0,0
1600,267,1480,139,128,0,0
1600,268,1480,139,129,0,0
1600,269,1480,139,130,0,0
1600,270,1480,139,131,0,0
1600,271,1480,139,132,0,0
1600,273,1600,140,133,0,0
1600,274,1600,140,134,0,0
1600,275,1600,140,135,0,0
1600,276,1600,140,136,0,0
1600,278,1600,141,137,0,0
1600,279,1600,141,138,0,0
1600,280,1600,141,139,0,0
1600,281,1600,141,140,0,0
1600,287,1600,146,141,0,0
1600,297,1600,155,142,0,0
1600,298,1600,155,143,0,0
1701,299,1600,155,144,0,0
1701,300,1600,155,145,0,0
1701,301,1600,155,146,0,0
1701,302,1600,155,147,0,0
1701,303,1600,155,148,0,0
1701,304,1600,155,149,0,0
1701,306,1701,156,150,0,0
1701,307,1701,156,151,0,0
1701,308,1701,156,152,0,0
1701,309,1701,156,153,0,0
1701,310,1701,156,154,0,0
1701,311,1701,156,155,0,0
1701,313,1701,157,156,0,0
1701,317,1701,160,157,0,0
1701,328,1701,170,158,0,0
1820,329,1701,170,159,0,0
1820,330,1701,170,160,0,0
1820,331,1701,170,161,0,0
1820,332,1701,170,162,0,0
1820,333,1701,170,163,0,0
1820,334,1701,170,164,0,0
1820,335,1701,170,165,0,0
1820,336,1701,170,166,0,0
1820,337,1701,170,167,0,0
1820,338,1701,170,168,0,0
1820,341,1820,172,169,0,0
1820,342,1820,172,170,0,0
1820,343,1820,172,171,0,0
1820,347,1820,175,172,0,0
1820,352,1820,179,173,0,0
1820,357,1820,183,174,0,0
1820,360,1820,185,175,0,0
1941,365,1820,189,176,0,0
1941,366,1820,189,177,0,0
1941,367,1820,189,178,0,0
1941,368,1820,189,179,0,0
1941,369,1820,189,180,0,0
1941,370,1820,189,181,0,0
1941,371,1820,189,182,0,0
1941,372,1820,189,183,0,0
1941,373,1820,189,184,0,0
1941,375,1941,190,185,0,0
1941,376,1941,190,186,0,0
1941,377,1941,190,187,0,0
1941,380,1941,192,188,0,0
1941,383,1941,194,189,0,0
1941,384,1941,194,190,0,0
1941,386,1941,195,191,0,0
1941,398,1941,206,192,0,0
2059,399,1941,206,193,0,0
2059,400,1941,206,194,0,0
2059,401,1941,206,195,0,0
2059,402,1941,206,196,0,0
2059,403,1941,206,197,0,0
2059,404,1941,206,198,0,0
2059,405,1941,206,199,0,0
2059,406,1941,206,200,0,0
2059,407,1941,206,201,0,0
2059,408,1941,206,202,0,0
2059,409,1941,206,203,0,0
2059,410,1941,206,204,0,0
2059,413,2059,208,205,0,0
2059,416,2059,210,206,0,0
2059,418,2059,211,207,0,0
2059,423,2059,215,208,0,0
2059,424,2059,215,209,0,0
2059,430,2059,220,210,0,0
2059,434,2059,223,211,0,0
2059,437,2059,225,212,0,0
