Communication timer, comunication counter, latest time of propagation, number of nodes spread, number of positive ack, number of negative ack, number of requests
100,2,100,1,1,0,0
220,4,100,2,2,0,0
220,6,220,3,3,0,0
340,10,220,6,4,0,0
340,11,220,6,5,0,0
340,14,340,8,6,0,0
440,15,340,8,7,0,0
440,16,340,8,8,0,0
440,20,440,11,9,0,0
560,22,440,12,10,0,0
560,23,440,12,11,0,0
560,25,560,13,12,0,0
560,29,560,16,13,0,0
680,31,560,17,14,0,0
680,32,560,17,15,0,0
680,33,560,17,16,0,0
680,35,680,18,17,0,0
680,40,680,22,18,0,0
801,41,680,22,19,0,0
801,42,680,22,20,0,0
801,43,680,22,21,0,0
801,44,680,22,22,0,0
801,51,801,28,23,0,0
801,53,801,29,24,0,0
801,54,801,29,25,0,0
920,55,801,29,26,0,0
920,56,801,29,27,0,0
920,57,801,29,28,0,0
920,58,801,29,29,0,0
920,61,920,31,30,0,0
920,62,920,31,31,0,0
920,65,920,33,32,0,0
920,72,920,39,33,0,0
1020,73,920,39,34,0,0
1020,75,1020,40,35,0,0
1020,76,1020,40,36,0,0
1020,77,1020,40,37,0,0
1020,78,1020,40,38,0,0
1020,79,1020,40,39,0,0
1020,81,1020,41,40,0,0
1020,85,1020,44,41,0,0
1020,88,1020,46,42,0,0
1020,94,1020,51,43,0,0
1140,95,1020,51,44,0,0
1140,97,1140,52,45,0,0
1140,98,1140,52,46,0,0
1140,100,1140,53,47,0,0
1140,101,1140,53,48,0,0
1140,102,1140,53,49,0,0
1140,103,1140,53,50,0,0
1140,104,1140,53,51,0,0
1140,105,1140,53,52,0,0
1140,106,1140,53,53,0,0
1140,113,1140,59,54,0,0
1140,119,1140,64,55,0,0
1260,120,1140,64,56,0,0
1260,121,1140,64,57,0,0
1260,122,1140,64,58,0,0
1260,123,1140,64,59,0,0
1260,124,1140,64,60,0,0
1260,125,1140,64,61,0,0
1260,126,1140,64,62,0,0
1260,127,1140,64,63,0,0
1260,128,1140,64,64,0,0
1260,129,1140,64,65,0,0
1260,133,1260,67,66,0,0
1260,139,1260,72,67,0,0
1260,140,1260,72,68,0,0
1260,146,1260,77,69,0,0
1260,151,1260,81,70,0,0
1260,152,1260,81,71,0,0
1380,153,1260,81,72,0,0
1380,156,1380,83,73,0,0
1380,157,1380,83,74,0,0
1380,159,1380,84,75,0,0
1380,160,1380,84,76,0,0
1380,161,1380,84,77,0,0
1380,162,1380,84,78,0,0
1380,163,1380,84,79,0,0
1380,166,1380,86,80,0,0
1380,167,1380,86,81,0,0
1380,168,1380,86,82,0,0
1380,169,1380,86,83,0,0
1380,172,1380,88,84,0,0
1380,177,1380,92,85,0,0
1380,186,1380,100,86,0,0
1380,187,1380,100,87,0,0
1480,188,1380,100,88,0,0
1480,189,1380,100,89,0,0
1480,190,1380,100,90,0,0
1480,193,1480,102,91,0,0
1480,195,1480,103,92,0,0
1480,196,1480,103,93,0,0
1480,197,1480,103,94,0,0
1480,198,1480,103,95,0,0
1480,199,1480,103,96,0,0
1480,200,1480,103,97,0,0
1480,202,1480,104,98,0,0
1480,205,1480,106,99,0,0
1480,207,1480,107,100,0,0
1480,209,1480,108,101,0,0
1480,210,1480,108,102,0,0
1480,211,1480,108,103,0,0
1480,218,1480,114,104,0,0
1480,220,1480,115,105,0,0
1480,225,1480,119,106,0,0
1480,226,1480,119,107,0,0
1600,227,1480,119,108,0,0
1600,228,1480,119,109,0,0
1600,229,1480,119,110,0,0
1600,230,1480,119,111,0,0
1600,231,1480,119,112,0,0
1600,232,1480,119,113,0,0
1600,233,1480,119,114,0,0
1600,234,1480,119,115,0,0
1600,235,1480,119,116,0,0
1600,238,1600,121,117,0,0
1600,240,1600,122,118,0,0
1600,242,1600,123,119,0,0
1600,243,1600,123,120,0,0
1600,244,1600,123,121,0,0
1600,247,1600,125,122,0,0
1600,254,1600,131,123,0,0
1600,256,1600,132,124,0,0
1600,263,1600,138,125,0,0
1600,264,1600,138,126,0,0
1600,265,1600,138,127,0,0
1600,266,1600,138,128,0,0
1701,267,1600,138,129,0,0
1701,268,1600,138,130,0,0
1701,269,1600,138,131,0,0
1701,270,1600,138,132,0,0
1701,271,1600,138,133,0,0
1701,272,1600,138,134,0,0
1701,273,1600,138,135,0,0
1701,274,1600,138,136,0,0
1701,275,1600,138,137,0,0
1701,280,1701,142,138,0,0
1701,281,1701,142,139,0,0
1701,282,1701,142,140,0,0
1701,290,1701,149,141,0,0
1701,295,1701,153,142,0,0
1701,296,1701,153,143,0,0
1820,297,1701,153,144,0,0
1820,299,1820,154,145,0,0
1820,300,1820,154,146,0,0
1820,301,1820,154,147,0,0
1820,302,1820,154,148,0,0
1820,303,1820,154,149,0,0
1820,308,1820,158,150,0,0
1820,310,1820,159,151,0,0
1820,311,1820,159,152,0,0
1820,312,1820,159,153,0,0
1820,314,1820,160,154,0,0
1820,315,1820,160,155,0,0
1820,320,1820,164,156,0,0
1940,321,1820,164,157,0,0
1940,322,1820,164,158,0,0
