Communication timer, comunication counter, latest time of propagation, number of nodes spread, number of positive ack, number of negative ack, number of requests
100,2,0,1,1,0,0
200,4,100,2,2,0,0
301,5,100,2,3,0,0
402,8,301,4,4,0,0
402,10,402,5,5,0,0
502,12,402,6,6,0,0
502,13,402,6,7,0,0
502,19,502,11,8,0,0
602,20,502,11,9,0,0
602,21,502,11,10,0,0
602,23,602,12,11,0,0
602,24,602,12,12,0,0
602,31,602,18,13,0,0
702,32,602,18,14,0,0
702,33,602,18,15,0,0
702,36,702,20,16,0,0
702,37,702,20,17,0,0
702,38,702,20,18,0,0
702,39,702,20,19,0,0
702,45,702,25,20,0,0
702,48,702,27,21,0,0
803,49,702,27,22,0,0
803,50,702,27,23,0,0
803,51,702,27,24,0,0
803,52,702,27,25,0,0
803,53,702,27,26,0,0
803,54,702,27,27,0,0
803,55,702,27,28,0,0
803,64,803,35,29,0,0
904,67,803,37,30,0,0
904,68,803,37,31,0,0
904,69,803,37,32,0,0
904,70,803,37,33,0,0
904,71,803,37,34,0,0
904,72,803,37,35,0,0
904,73,803,37,36,0,0
904,74,803,37,37,0,0
904,75,803,37,38,0,0
904,84,904,45,39,0,0
904,88,904,48,40,0,0
1005,89,904,48,41,0,0
1005,90,904,48,42,0,0
1005,91,904,48,43,0,0
1005,92,904,48,44,0,0
1005,93,904,48,45,0,0
1005,94,904,48,46,0,0
1005,95,904,48,47,0,0
1005,96,904,48,48,0,0
1005,97,904,48,49,0,0
1005,98,904,48,50,0,0
1005,107,1005,56,51,0,0
1005,113,1005,61,52,0,0
1005,114,1005,61,53,0,0
1106,115,1005,61,54,0,0
1106,116,1005,61,55,0,0
1106,117,1005,61,56,0,0
1106,118,1005,61,57,0,0
1106,119,1005,61,58,0,0
1106,120,1005,61,59,0,0
1106,121,1005,61,60,0,0
1106,122,1005,61,61,0,0
1106,123,1005,61,62,0,0
1106,124,1005,61,63,0,0
1106,125,1005,61,64,0,0
1106,137,1106,72,65,0,0
1106,143,1106,77,66,0,0
1207,144,1106,77,67,0,0
1207,145,1106,77,68,0,0
1207,146,1106,77,69,0,0
1207,148,1207,78,70,0,0
1207,151,1207,80,71,0,0
1207,152,1207,80,72,0,0
1207,153,1207,80,73,0,0
1207,154,1207,80,74,0,0
