Communication timer, comunication counter, latest time of propagation, number of nodes spread, number of positive ack, number of negative ack, number of requests
39,1,0,0,0,1,0
39,2,0,0,0,2,0
39,3,0,0,0,3,0
39,4,0,0,0,4,0
39,5,0,0,0,5,0
39,6,0,0,0,6,0
39,7,0,0,0,7,0
39,8,0,0,0,8,0
39,9,0,0,0,9,0
39,10,0,0,0,10,0
39,11,0,0,0,11,0
39,12,0,0,0,12,0
39,13,0,0,0,13,0
39,14,0,0,0,14,0
39,15,0,0,0,15,0
39,16,0,0,0,16,0
39,17,0,0,0,17,0
39,18,0,0,0,18,0
39,19,0,0,0,19,0
39,20,0,0,0,20,0
39,21,0,0,0,21,0
39,22,0,0,0,22,0
39,23,0,0,0,23,0
39,24,0,0,0,24,0
39,25,0,0,0,25,0
39,26,0,0,0,26,0
39,27,0,0,0,27,0
39,28,0,0,0,28,0
39,29,0,0,0,29,0
39,30,0,0,0,30,0
39,31,0,0,0,31,0
39,32,0,0,0,32,0
39,33,0,0,0,33,0
39,34,0,0,0,34,0
39,35,0,0,0,35,0
39,36,0,0,0,36,0
39,37,0,0,0,37,0
39,38,0,0,0,38,0
39,39,0,0,0,39,0
39,40,0,0,0,40,0
39,41,0,0,0,41,0
39,42,0,0,0,42,0
39,43,0,0,0,43,0
39,44,0,0,0,44,0
39,45,0,0,0,45,0
39,46,0,0,0,46,0
39,47,0,0,0,47,0
39,48,0,0,0,48,0
39,49,0,0,0,49,0
41,50,0,0,0,50,0
41,51,0,0,0,51,0
41,52,0,0,0,52,0
41,53,0,0,0,53,0
41,54,0,0,0,54,0
41,55,0,0,0,55,0
41,56,0,0,0,56,0
41,57,0,0,0,57,0
41,58,0,0,0,58,0
41,59,0,0,0,59,0
41,60,0,0,0,60,0
41,61,0,0,0,61,0
41,62,0,0,0,62,0
41,63,0,0,0,63,0
41,64,0,0,0,64,0
41,65,0,0,0,65,0
41,66,0,0,0,66,0
41,67,0,0,0,67,0
41,68,0,0,0,68,0
41,69,0,0,0,69,0
41,70,0,0,0,70,0
41,71,0,0,0,71,0
41,72,0,0,0,72,0
41,73,0,0,0,73,0
41,74,0,0,0,74,0
41,75,0,0,0,75,0
41,76,0,0,0,76,0
41,77,0,0,0,77,0
41,78,0,0,0,78,0
41,79,0,0,0,79,0
41,80,0,0,0,80,0
41,81,0,0,0,81,0
41,82,0,0,0,82,0
60,83,0,0,0,83,0
60,84,0,0,0,84,0
60,85,0,0,0,85,0
60,86,0,0,0,86,0
60,87,0,0,0,87,0
60,88,0,0,0,88,0
60,89,0,0,0,89,0
60,90,0,0,0,90,0
60,91,0,0,0,91,0
62,92,0,0,0,92,0
62,93,0,0,0,93,0
62,94,0,0,0,94,0
62,95,0,0,0,95,0
62,96,0,0,0,96,0
62,97,0,0,0,97,0
62,98,0,0,0,98,0
62,99,0,0,0,99,0
62,100,0,0,0,100,0
62,101,0,0,0,101,0
62,102,0,0,0,102,0
62,103,0,0,0,103,0
62,104,0,0,0,104,0
62,105,0,0,0,105,0
62,106,0,0,0,106,0
62,107,0,0,0,107,0
62,108,0,0,0,108,0
62,109,0,0,0,109,0
62,110,0,0,0,110,0
62,111,0,0,0,111,0
62,112,0,0,0,112,0
62,113,0,0,0,113,0
62,114,0,0,0,114,0
62,115,0,0,0,115,0
62,116,0,0,0,116,0
62,117,0,0,0,117,0
62,118,0,0,0,118,0
62,119,0,0,0,119,0
62,120,0,0,0,120,0
